weight,Time,Chick,Diet
43,0,11,1
51,2,11,1
63,4,11,1
84,6,11,1
112,8,11,1
139,10,11,1
168,12,11,1
177,14,11,1
182,16,11,1
184,18,11,1
181,20,11,1
175,21,11,1
41,0,12,1
49,2,12,1
56,4,12,1
62,6,12,1
72,8,12,1
88,10,12,1
119,12,12,1
135,14,12,1
162,16,12,1
185,18,12,1
195,20,12,1
205,21,12,1
40,0,21,2
50,2,21,2
62,4,21,2
86,6,21,2
125,8,21,2
163,10,21,2
217,12,21,2
240,14,21,2
275,16,21,2
307,18,21,2
318,20,21,2
331,21,21,2
41,0,22,2
55,2,22,2
64,4,22,2
77,6,22,2
90,8,22,2
95,10,22,2
108,12,22,2
111,14,22,2
131,16,22,2
148,18,22,2
164,20,22,2
167,21,22,2
42,0,31,3
53,2,31,3
62,4,31,3
73,6,31,3
85,8,31,3
102,10,31,3
123,12,31,3
138,14,31,3
170,16,31,3
204,18,31,3
235,20,31,3
256,21,31,3
41,0,32,3
49,2,32,3
65,4,32,3
82,6,32,3
107,8,32,3
129,10,32,3
159,12,32,3
179,14,32,3
221,16,32,3
263,18,32,3
291,20,32,3
305,21,32,3
42,0,41,4
51,2,41,4
66,4,41,4
85,6,41,4
103,8,41,4
124,10,41,4
155,12,41,4
153,14,41,4
175,16,41,4
184,18,41,4
199,20,41,4
204,21,41,4
42,0,42,4
49,2,42,4
63,4,42,4
84,6,42,4
103,8,42,4
126,10,42,4
160,12,42,4
174,14,42,4
204,16,42,4
234,18,42,4
269,20,42,4
281,21,42,4
